Branch1,Branch2,Success,MW_Lost
23,86,1,0.00
1,8,1,0.00
40,166,1,0.00
35,83,1,0.00
29,121,1,0.00
42,60,1,0.00
97,140,1,0.00
13,127,1,0.00
12,92,1,0.00
8,185,1,0.00
142,143,1,0.00
51,111,1,0.00
42,112,1,0.00
128,163,1,0.00
57,66,1,0.00
33,129,1,0.00
98,158,1,0.00
12,90,1,0.00
108,165,1,0.00
81,153,1,0.00
85,126,1,0.00
8,159,1,0.00
63,166,1,0.00
64,91,1,0.00
89,180,1,0.00
23,147,1,0.00
43,49,1,0.00
19,64,1,0.00
5,116,1,0.00
81,172,1,0.00
11,18,1,0.00
56,115,1,0.00
96,101,1,0.00
100,162,1,0.00
23,101,1,0.00
42,173,1,0.00
48,101,1,0.00
31,51,1,0.00
118,140,1,0.00
16,26,1,0.00
12,117,1,0.00
46,138,1,0.00
39,73,1,0.00
90,138,1,0.00
64,146,1,0.00
178,179,0,BLACK_OUT
56,110,1,0.00
2,87,1,0.00
138,166,1,0.00
67,141,1,0.00
86,140,1,0.00
96,172,1,0.00
31,81,1,0.00
8,166,1,0.00
10,70,1,0.00
5,97,1,0.00
107,121,1,0.00
82,154,1,0.00
34,153,1,0.00
11,77,1,0.00
103,178,1,0.00
69,81,1,0.00
78,81,1,0.00
62,147,1,0.00
61,122,1,0.00
14,186,1,0.00
67,122,1,0.00
46,178,1,0.00
95,97,1,0.00
4,53,1,0.00
45,186,1,0.00
75,98,1,0.00
83,108,1,0.00
71,155,1,0.00
164,181,1,0.00
37,86,1,0.00
72,156,1,0.00
81,125,1,0.00
124,132,1,0.00
30,157,1,0.00
33,139,1,0.00
77,81,1,0.00
31,82,1,0.00
20,123,1,0.00
139,155,1,0.00
50,143,1,0.00
16,138,1,0.00
34,135,1,0.00
26,100,1,0.00
89,118,1,0.00
8,82,1,0.00
144,170,1,0.00
141,175,1,0.00
45,175,1,0.00
101,107,1,0.00
26,109,1,0.00
123,132,1,0.00
43,182,1,0.00
145,170,1,0.00
72,93,1,0.00
25,149,1,0.00
56,135,1,0.00
5,126,1,0.00
35,185,1,0.00
105,138,1,0.00
45,159,1,0.00
32,137,1,0.00
37,51,1,0.00
25,138,1,0.00
87,138,1,0.00
121,132,1,0.00
76,123,1,0.00
37,54,1,0.00
87,141,1,0.00
14,161,1,0.00
1,165,1,0.00
21,111,1,0.00
93,94,0,BLACK_OUT
4,171,1,0.00
150,158,1,0.00
4,29,1,0.00
69,138,1,0.00
1,122,1,0.00
55,101,1,0.00
29,131,1,0.00
108,128,1,0.00
53,76,1,0.00
64,128,1,0.00
116,120,1,0.00
51,63,1,0.00
30,114,1,0.00
74,138,1,0.00
17,44,1,0.00
54,72,1,0.00
20,64,1,0.00
79,139,1,0.00
110,138,1,0.00
124,180,1,0.00
2,83,1,0.00
8,65,1,0.00
35,146,1,0.00
124,148,1,0.00
95,165,1,0.00
131,161,1,0.00
67,83,1,0.00
35,116,1,0.00
150,153,1,0.00
62,95,1,0.00
152,185,1,0.00
42,141,1,0.00
38,178,1,0.00
56,80,1,0.00
131,144,1,0.00
11,48,1,0.00
30,90,1,0.00
73,89,1,0.00
14,105,1,0.00
49,114,1,0.00
73,86,1,0.00
49,57,1,0.00
26,157,1,0.00
107,168,1,0.00
153,180,1,0.00
19,138,1,0.00
3,120,1,0.00
33,70,1,0.00
32,49,1,0.00
117,164,1,0.00
40,112,1,0.00
33,89,1,0.00
6,34,1,0.00
30,83,1,0.00
88,126,1,0.00
58,68,1,0.00
61,102,1,0.00
111,178,1,0.00
65,87,1,0.00
23,49,1,0.00
10,182,1,0.00
33,41,1,0.00
66,149,1,0.00
93,140,1,0.00
19,52,1,0.00
72,82,1,0.00
65,185,1,0.00
30,53,1,0.00
112,180,1,0.00
13,124,1,0.00
57,119,1,0.00
13,120,1,0.00
102,135,1,0.00
55,57,1,0.00
32,78,1,0.00
2,51,1,0.00
49,109,1,0.00
146,163,1,0.00
37,43,1,0.00
24,28,1,0.00
32,110,1,0.00
132,161,1,0.00
52,179,1,0.00
46,60,1,0.00
4,154,1,0.00
111,151,1,0.00
50,80,1,0.00
20,131,1,0.00
106,166,1,0.00
6,68,1,0.00
31,86,1,0.00
163,169,1,0.00
18,148,1,0.00
20,96,1,0.00
128,158,1,0.00
31,92,1,0.00
19,141,1,0.00
46,79,1,0.00
77,111,1,0.00
58,175,1,0.00
109,143,1,0.00
156,166,1,0.00
48,173,1,0.00
14,36,1,0.00
11,102,1,0.00
8,180,1,0.00
131,179,1,0.00
27,107,1,0.00
24,100,1,0.00
102,162,1,0.00
107,152,1,0.00
70,169,1,0.00
38,136,1,0.00
17,121,1,0.00
93,106,1,0.00
29,35,1,0.00
41,182,1,0.00
56,122,1,0.00
41,70,1,0.00
32,61,1,0.00
112,151,1,0.00
51,172,1,0.00
100,104,1,0.00
40,76,1,0.00
78,107,1,0.00
29,85,1,0.00
77,84,1,0.00
37,41,1,0.00
43,153,1,0.00
119,172,1,0.00
30,158,1,0.00
94,127,1,0.00
73,74,0,BLACK_OUT
80,156,1,0.00
17,141,1,0.00
162,169,1,0.00
15,153,1,0.00
42,99,1,0.00
79,169,1,0.00
22,54,1,0.00
13,165,1,0.00
38,131,1,0.00
47,119,1,0.00
127,128,1,0.00
42,47,1,0.00
124,169,1,0.00
6,62,1,0.00
54,105,1,0.00
50,180,1,0.00
41,60,1,0.00
15,32,1,0.00
75,102,1,0.00
46,61,1,0.00
13,168,1,0.00
23,39,1,0.00
111,115,1,0.00
37,81,1,0.00
56,154,1,0.00
135,186,1,0.00
71,168,1,0.00
84,122,1,0.00
13,36,1,0.00
34,163,1,0.00
47,124,1,0.00
110,172,1,0.00
42,147,1,0.00
36,62,1,0.00
1,30,1,0.00
73,125,1,0.00
8,151,1,0.00
48,58,1,0.00
29,181,1,0.00
26,154,1,0.00
109,186,1,0.00
48,129,1,0.00
74,120,1,0.00
8,32,1,0.00
72,99,1,0.00
1,181,1,0.00
80,125,1,0.00
98,170,1,0.00
43,143,1,0.00
38,107,1,0.00
135,170,1,0.00
19,25,1,0.00
86,110,1,0.00
60,64,1,0.00
135,160,1,0.00
2,42,1,0.00
106,165,1,0.00
3,80,1,0.00
13,117,1,0.00
140,143,0,BLACK_OUT
72,105,1,0.00
61,152,1,0.00
51,110,1,0.00
110,180,1,0.00
67,140,1,0.00
92,98,1,0.00
25,158,1,0.00
47,137,1,0.00
96,132,1,0.00
22,151,1,0.00
34,160,1,0.00
80,155,1,0.00
42,116,1,0.00
40,65,1,0.00
57,96,1,0.00
85,90,1,0.00
83,118,1,0.00
13,20,1,0.00
31,101,1,0.00
25,70,1,0.00
49,94,1,0.00
50,65,1,0.00
41,136,1,0.00
50,71,1,0.00
74,124,1,0.00
142,160,1,0.00
12,102,1,0.00
22,163,1,0.00
57,179,1,0.00
44,90,1,0.00
30,129,1,0.00
19,168,1,0.00
34,150,1,0.00
54,181,1,0.00
12,31,1,0.00
74,84,1,0.00
27,32,1,0.00
6,46,1,0.00
15,158,1,0.00
42,162,1,0.00
101,168,1,0.00
27,55,1,0.00
12,128,1,0.00
20,86,1,0.00
58,162,1,0.00
105,117,1,0.00
18,78,1,0.00
43,94,1,0.00
39,132,1,0.00
80,186,1,0.00
103,142,1,0.00
88,147,1,0.00
14,99,1,0.00
42,87,1,0.00
84,166,1,0.00
4,152,1,0.00
63,141,1,0.00
21,51,1,0.00
31,91,1,0.00
70,167,1,0.00
89,131,1,0.00
55,131,1,0.00
136,164,1,0.00
76,147,1,0.00
21,102,1,0.00
29,42,1,0.00
32,36,1,0.00
87,143,1,0.00
68,146,1,0.00
70,87,1,0.00
8,178,1,0.00
11,123,1,0.00
24,123,1,0.00
55,185,1,0.00
19,109,1,0.00
79,104,1,0.00
33,169,1,0.00
109,173,1,0.00
50,142,1,0.00
13,160,1,0.00
67,179,1,0.00
39,186,1,0.00
22,152,1,0.00
34,122,1,0.00
75,148,1,0.00
92,125,1,0.00
138,163,1,0.00
24,69,1,0.00
17,28,1,0.00
104,130,1,0.00
11,61,1,0.00
56,89,1,0.00
24,171,1,0.00
14,148,1,0.00
46,121,1,0.00
60,117,1,0.00
21,109,1,0.00
66,92,1,0.00
121,168,1,0.00
85,173,1,0.00
142,146,1,0.00
119,128,1,0.00
101,140,1,0.00
43,59,1,0.00
54,62,1,0.00
45,160,1,0.00
76,159,1,0.00
32,155,1,0.00
38,165,1,0.00
69,94,1,0.00
119,163,1,0.00
70,132,1,0.00
112,129,1,0.00
66,106,1,0.00
4,94,1,0.00
80,157,1,0.00
81,181,1,0.00
96,168,1,0.00
75,147,1,0.00
49,72,1,0.00
112,117,1,0.00
140,154,1,0.00
117,138,1,0.00
95,173,1,0.00
110,129,1,0.00
8,167,1,0.00
85,86,1,0.00
15,130,1,0.00
148,179,1,0.00
5,141,1,0.00
74,119,1,0.00
46,157,1,0.00
15,114,1,0.00
11,141,1,0.00
5,128,1,0.00
110,173,1,0.00
159,165,1,0.00
3,144,1,0.00
16,169,1,0.00
5,48,1,0.00
64,112,1,0.00
66,165,1,0.00
179,186,1,0.00
33,92,1,0.00
129,179,1,0.00
149,186,1,0.00
13,50,1,0.00
29,138,1,0.00
31,95,1,0.00
60,86,1,0.00
8,120,1,0.00
55,120,1,0.00
94,112,1,0.00
3,146,1,0.00
43,158,1,0.00
90,123,1,0.00
89,162,1,0.00
45,173,1,0.00
27,129,1,0.00
57,129,1,0.00
10,112,1,0.00
89,103,1,0.00
64,92,1,0.00
101,102,1,0.00
8,64,1,0.00
8,95,1,0.00
73,179,1,0.00
10,26,1,0.00
17,126,1,0.00
120,138,1,0.00
43,114,1,0.00
74,112,1,0.00
30,116,1,0.00
136,150,1,0.00
35,170,1,0.00
117,173,1,0.00
62,81,1,0.00
6,71,1,0.00
10,47,1,0.00
29,52,1,0.00
42,86,1,0.00
65,112,1,0.00
12,180,1,0.00
37,115,1,0.00
18,126,1,0.00
51,128,1,0.00
17,23,1,0.00
18,127,1,0.00
151,173,1,0.00
115,159,1,0.00
37,126,1,0.00
39,54,1,0.00
17,100,1,0.00
13,130,1,0.00
88,146,1,0.00
44,111,1,0.00
63,173,1,0.00
5,170,1,0.00
32,186,1,0.00
28,61,1,0.00
17,91,1,0.00
70,165,1,0.00
22,98,1,0.00
62,153,1,0.00
6,156,1,0.00
90,128,1,0.00
85,148,1,0.00
81,168,1,0.00
121,129,1,0.00
116,178,1,0.00
117,123,1,0.00
24,160,1,0.00
109,147,1,0.00
13,21,1,0.00
164,178,1,0.00
13,26,1,0.00
26,172,1,0.00
122,171,1,0.00
28,44,1,0.00
141,173,1,0.00
127,170,1,0.00
97,146,1,0.00
35,42,1,0.00
59,158,1,0.00
10,170,1,0.00
31,64,1,0.00
54,55,1,0.00
16,174,1,0.00
1,149,1,0.00
8,105,1,0.00
120,162,1,0.00
31,140,1,0.00
147,173,1,0.00
53,150,1,0.00
61,170,1,0.00
59,71,1,0.00
27,172,1,0.00
158,186,1,0.00
84,116,1,0.00
117,179,1,0.00
20,128,1,0.00
144,164,1,0.00
17,107,1,0.00
23,115,1,0.00
92,158,1,0.00
110,131,1,0.00
32,54,1,0.00
21,85,1,0.00
42,127,1,0.00
17,54,1,0.00
39,110,1,0.00
33,55,1,0.00
12,182,1,0.00
60,112,1,0.00
2,66,1,0.00
25,120,1,0.00
58,154,1,0.00
11,144,1,0.00
26,61,1,0.00
84,101,1,0.00
28,84,1,0.00
25,79,1,0.00
46,132,1,0.00
129,137,1,0.00
29,93,1,0.00
92,166,1,0.00
76,102,1,0.00
67,132,1,0.00
164,182,1,0.00
65,103,1,0.00
11,74,1,0.00
116,179,1,0.00
66,148,1,0.00
72,146,1,0.00
140,181,1,0.00
29,88,1,0.00
79,168,1,0.00
100,166,1,0.00
60,61,0,BLACK_OUT
6,104,1,0.00
44,174,1,0.00
14,152,1,0.00
82,146,1,0.00
3,87,1,0.00
106,118,1,0.00
48,106,1,0.00
54,124,1,0.00
49,59,1,0.00
161,174,1,0.00
65,118,1,0.00
86,109,1,0.00
65,78,1,0.00
19,147,1,0.00
57,72,1,0.00
35,97,1,0.00
129,135,1,0.00
4,63,1,0.00
51,131,1,0.00
91,154,1,0.00
174,178,1,0.00
64,149,1,0.00
60,70,1,0.00
54,79,1,0.00
2,92,1,0.00
70,129,1,0.00
136,167,1,0.00
38,97,1,0.00
29,30,1,0.00
50,95,1,0.00
63,174,1,0.00
12,20,1,0.00
126,181,1,0.00
55,136,1,0.00
91,161,1,0.00
28,42,1,0.00
23,118,1,0.00
56,158,1,0.00
2,64,1,0.00
74,130,1,0.00
90,91,1,0.00
70,88,1,0.00
29,102,1,0.00
51,118,1,0.00
56,103,1,0.00
20,102,1,0.00
97,101,1,0.00
82,173,1,0.00
102,152,1,0.00
119,153,1,0.00
59,121,1,0.00
6,121,1,0.00
52,116,1,0.00
12,40,1,0.00
21,124,1,0.00
141,154,1,0.00
109,150,1,0.00
145,171,1,0.00
8,76,1,0.00
153,154,1,0.00
70,149,1,0.00
81,114,1,0.00
106,147,1,0.00
97,175,1,0.00
4,33,1,0.00
6,43,1,0.00
2,147,1,0.00
44,79,1,0.00
1,170,1,0.00
56,185,1,0.00
127,148,1,0.00
5,96,1,0.00
11,88,1,0.00
32,116,1,0.00
71,115,1,0.00
75,155,1,0.00
86,96,1,0.00
20,158,1,0.00
92,137,1,0.00
76,112,1,0.00
66,186,1,0.00
60,124,1,0.00
5,169,1,0.00
27,99,1,0.00
6,53,1,0.00
17,137,1,0.00
56,136,1,0.00
28,114,1,0.00
139,173,1,0.00
29,101,1,0.00
27,179,1,0.00
115,147,1,0.00
21,172,1,0.00
11,57,1,0.00
100,117,1,0.00
26,107,1,0.00
58,74,1,0.00
46,122,1,0.00
72,147,1,0.00
17,117,1,0.00
88,143,1,0.00
22,47,1,0.00
138,158,1,0.00
93,95,1,0.00
87,99,1,0.00
82,174,1,0.00
12,78,1,0.00
58,125,1,0.00
108,167,1,0.00
36,96,1,0.00
45,132,1,0.00
107,148,1,0.00
93,129,1,0.00
126,169,1,0.00
148,160,1,0.00
53,56,1,0.00
84,110,1,0.00
10,119,1,0.00
14,55,1,0.00
37,89,1,0.00
143,165,1,0.00
50,182,1,0.00
58,83,1,0.00
51,64,1,0.00
25,57,1,0.00
84,138,1,0.00
67,166,1,0.00
106,155,1,0.00
16,147,1,0.00
130,144,1,0.00
49,104,1,0.00
15,61,1,0.00
11,59,1,0.00
102,180,1,0.00
107,141,1,0.00
145,169,1,0.00
15,71,1,0.00
20,33,1,0.00
97,136,1,0.00
97,126,1,0.00
15,25,1,0.00
32,104,1,0.00
122,139,1,0.00
17,175,1,0.00
45,87,1,0.00
144,150,1,0.00
12,159,1,0.00
162,175,1,0.00
6,83,1,0.00
127,146,1,0.00
54,86,1,0.00
112,171,1,0.00
152,162,1,0.00
102,149,1,0.00
30,70,1,0.00
11,128,1,0.00
136,171,1,0.00
44,127,1,0.00
18,99,1,0.00
16,120,1,0.00
129,174,1,0.00
33,117,1,0.00
37,168,1,0.00
52,171,1,0.00
33,56,1,0.00
73,96,1,0.00
127,174,1,0.00
70,92,1,0.00
86,174,1,0.00
2,57,1,0.00
75,109,1,0.00
123,165,1,0.00
23,170,1,0.00
91,135,1,0.00
95,118,1,0.00
58,160,1,0.00
36,49,1,0.00
42,181,1,0.00
25,145,1,0.00
59,162,1,0.00
15,136,1,0.00
138,157,1,0.00
32,151,1,0.00
146,161,1,0.00
23,85,1,0.00
97,169,1,0.00
53,106,1,0.00
23,168,1,0.00
21,71,1,0.00
27,105,1,0.00
48,110,1,0.00
78,139,1,0.00
148,186,1,0.00
32,153,1,0.00
51,58,1,0.00
37,78,1,0.00
89,173,1,0.00
33,144,1,0.00
145,185,1,0.00
74,81,1,0.00
19,185,1,0.00
140,185,1,0.00
53,117,1,0.00
8,138,1,0.00
88,97,1,0.00
88,128,1,0.00
24,31,1,0.00
8,98,1,0.00
87,174,1,0.00
46,63,1,0.00
43,50,1,0.00
154,161,1,0.00
66,155,1,0.00
109,121,1,0.00
68,161,1,0.00
31,142,1,0.00
95,141,1,0.00
81,146,1,0.00
104,123,1,0.00
36,103,1,0.00
35,39,1,0.00
3,157,1,0.00
114,124,1,0.00
31,87,1,0.00
72,149,1,0.00
108,146,1,0.00
15,186,1,0.00
154,180,1,0.00
61,104,1,0.00
23,181,1,0.00
13,123,1,0.00
167,168,1,0.00
79,129,1,0.00
33,172,1,0.00
102,138,1,0.00
46,142,1,0.00
5,28,1,0.00
51,125,1,0.00
62,155,1,0.00
52,142,1,0.00
102,123,1,0.00
115,178,1,0.00
92,171,1,0.00
36,165,1,0.00
88,131,1,0.00
90,168,1,0.00
79,122,1,0.00
22,140,1,0.00
8,37,0,BLACK_OUT
53,158,1,0.00
75,91,1,0.00
88,94,1,0.00
34,174,1,0.00
103,127,1,0.00
118,129,1,0.00
153,160,1,0.00
11,96,1,0.00
108,131,1,0.00
136,154,1,0.00
29,65,1,0.00
45,156,1,0.00
11,14,1,0.00
27,144,1,0.00
51,103,1,0.00
71,161,1,0.00
69,185,1,0.00
24,119,1,0.00
50,96,1,0.00
77,132,1,0.00
75,144,1,0.00
45,118,1,0.00
40,71,1,0.00
1,138,1,0.00
5,12,1,0.00
83,175,1,0.00
132,137,1,0.00
130,154,1,0.00
54,106,1,0.00
5,25,1,0.00
24,179,1,0.00
116,165,1,0.00
70,180,1,0.00
143,160,1,0.00
31,173,1,0.00
17,85,1,0.00
95,114,1,0.00
86,98,1,0.00
78,122,1,0.00
1,89,1,0.00
24,93,1,0.00
1,65,1,0.00
6,90,1,0.00
5,118,1,0.00
75,122,1,0.00
37,170,1,0.00
109,110,1,0.00
81,178,1,0.00
141,147,1,0.00
38,78,1,0.00
37,71,1,0.00
126,155,1,0.00
68,150,1,0.00
30,121,1,0.00
48,170,1,0.00
146,175,1,0.00
98,128,1,0.00
1,139,1,0.00
58,128,1,0.00
14,129,1,0.00
14,84,1,0.00
14,125,1,0.00
132,164,1,0.00
30,38,1,0.00
22,168,1,0.00
41,150,1,0.00
79,130,1,0.00
20,34,1,0.00
4,46,1,0.00
12,109,1,0.00
65,97,1,0.00
40,159,1,0.00
18,85,1,0.00
140,157,1,0.00
1,31,1,0.00
48,130,1,0.00
16,163,1,0.00
77,105,1,0.00
42,58,1,0.00
101,115,1,0.00
18,25,1,0.00
121,162,1,0.00
45,47,1,0.00
153,173,1,0.00
69,144,1,0.00
72,136,1,0.00
36,114,1,0.00
87,147,1,0.00
6,75,1,0.00
36,74,1,0.00
66,162,1,0.00
140,162,1,0.00
11,139,1,0.00
1,90,1,0.00
142,185,1,0.00
76,119,1,0.00
47,126,1,0.00
71,156,1,0.00
43,172,1,0.00
36,167,1,0.00
10,18,1,0.00
96,155,1,0.00
70,142,1,0.00
13,118,1,0.00
135,181,1,0.00
76,148,1,0.00
127,160,1,0.00
18,80,1,0.00
85,94,1,0.00
49,172,1,0.00
21,75,1,0.00
55,75,1,0.00
121,145,1,0.00
92,170,1,0.00
17,128,1,0.00
64,87,1,0.00
6,111,1,0.00
5,89,1,0.00
17,49,1,0.00
34,78,1,0.00
137,173,1,0.00
6,175,1,0.00
38,170,1,0.00
111,157,1,0.00
95,137,1,0.00
107,154,1,0.00
120,150,1,0.00
10,125,1,0.00
82,143,1,0.00
53,164,1,0.00
78,156,1,0.00
52,94,1,0.00
13,76,1,0.00
2,128,1,0.00
109,178,1,0.00
46,94,1,0.00
2,4,1,0.00
18,29,1,0.00
68,97,1,0.00
82,119,1,0.00
66,120,1,0.00
37,157,1,0.00
6,93,1,0.00
96,152,1,0.00
126,163,1,0.00
99,136,1,0.00
136,142,1,0.00
8,137,1,0.00
12,86,1,0.00
58,139,1,0.00
6,52,1,0.00
6,48,1,0.00
17,155,1,0.00
126,171,1,0.00
14,167,1,0.00
74,90,1,0.00
31,116,1,0.00
97,120,1,0.00
51,138,1,0.00
119,136,1,0.00
54,135,1,0.00
63,115,1,0.00
89,145,1,0.00
149,166,1,0.00
46,81,1,0.00
93,137,1,0.00
21,150,1,0.00
115,142,1,0.00
48,59,1,0.00
46,186,1,0.00
10,154,1,0.00
101,138,1,0.00
100,185,1,0.00
25,130,1,0.00
55,94,1,0.00
20,180,1,0.00
17,58,1,0.00
87,171,1,0.00
92,115,1,0.00
72,166,1,0.00
65,115,1,0.00
43,151,1,0.00
40,148,1,0.00
103,126,1,0.00
143,157,1,0.00
87,104,1,0.00
17,88,1,0.00
37,68,1,0.00
32,125,1,0.00
24,36,1,0.00
11,166,1,0.00
88,103,1,0.00
91,99,1,0.00
20,80,1,0.00
149,162,1,0.00
26,104,1,0.00
3,112,1,0.00
12,142,1,0.00
66,98,1,0.00
40,82,1,0.00
30,170,1,0.00
35,84,1,0.00
62,135,1,0.00
78,171,1,0.00
24,167,1,0.00
1,36,1,0.00
60,98,1,0.00
29,97,1,0.00
11,66,1,0.00
90,160,1,0.00
64,80,1,0.00
24,68,1,0.00
63,90,1,0.00
52,186,1,0.00
63,151,1,0.00
49,139,1,0.00
19,114,1,0.00
47,103,1,0.00
144,171,1,0.00
55,91,1,0.00
59,78,1,0.00
72,124,1,0.00
88,114,1,0.00
10,59,1,0.00
4,71,1,0.00
24,77,1,0.00
38,62,1,0.00
34,35,0,BLACK_OUT
41,51,1,0.00
127,181,1,0.00
12,60,1,0.00
122,152,1,0.00
43,89,1,0.00
70,84,1,0.00
34,58,1,0.00
10,160,1,0.00
62,111,1,0.00
62,167,1,0.00
84,149,1,0.00
24,166,1,0.00
79,171,1,0.00
59,151,1,0.00
101,163,1,0.00
40,86,1,0.00
116,163,1,0.00
3,156,1,0.00
27,93,1,0.00
20,78,1,0.00
16,36,1,0.00
20,91,1,0.00
78,97,1,0.00
101,180,1,0.00
59,104,1,0.00
123,170,1,0.00
119,162,1,0.00
111,143,1,0.00
24,96,1,0.00
83,127,1,0.00
96,151,1,0.00
103,179,1,0.00
44,107,1,0.00
47,171,1,0.00
156,179,1,0.00
48,94,1,0.00
24,103,1,0.00
28,29,0,BLACK_OUT
43,127,1,0.00
4,41,1,0.00
142,145,1,0.00
15,48,1,0.00
55,147,1,0.00
55,79,1,0.00
74,89,1,0.00
148,170,1,0.00
128,144,1,0.00
17,60,1,0.00
3,18,1,0.00
8,14,1,0.00
125,165,1,0.00
14,147,1,0.00
14,120,1,0.00
22,77,1,0.00
10,97,1,0.00
147,181,1,0.00
19,35,1,0.00
29,34,1,0.00
67,125,1,0.00
20,77,1,0.00
43,170,1,0.00
58,105,1,0.00
128,164,1,0.00
80,150,1,0.00
4,123,1,0.00
40,46,1,0.00
19,80,1,0.00
20,127,1,0.00
54,140,1,0.00
6,149,1,0.00
45,102,1,0.00
156,173,1,0.00
44,117,1,0.00
71,81,1,0.00
16,112,1,0.00
78,140,1,0.00
18,28,1,0.00
65,125,1,0.00
23,35,1,0.00
115,124,1,0.00
60,156,1,0.00
8,155,1,0.00
43,122,1,0.00
68,85,1,0.00
62,103,1,0.00
77,95,1,0.00
21,59,1,0.00
143,163,1,0.00
20,115,1,0.00
112,119,1,0.00
39,71,1,0.00
43,91,1,0.00
31,42,1,0.00
116,156,1,0.00
42,120,1,0.00
34,72,1,0.00
